ImageFile,LoopStatus,Min,Max,MeanVal,TrimMean,MedVal,StandDiv,Q1,Q3,IQR
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg4.fits,Loop,2,3756,97.94467544555664,83.95710389288371,79.0,98.05279272456741,46.0,120.0,74.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg10.fits,Loop,53,5948,594.1999244689941,489.0597760781247,420.0,543.9657453283256,247.0,722.0,475.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg8.fits,Loop,44,14533,871.642333984375,645.5350378607259,536.0,1084.345722013401,258.0,1008.0,750.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg9.fits,Loop,39,7183,579.443187713623,456.521276392836,338.0,615.0629944704497,176.0,761.0,585.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg11.fits,Loop,98,7244,993.9292068481445,864.7205315760361,749.0,774.853924512751,438.0,1313.0,875.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg5.fits,Loop,27,7140,725.987174987793,603.5823256213165,505.0,682.1363396295563,267.0,933.0,666.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg20.fits,Loop,81,8611,992.6954574584961,863.7460899502183,782.0,763.8255357094885,491.0,1231.0,740.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg2.fits,Loop,72,9741,474.2117347717285,407.0446460928112,358.0,379.2010349791799,232.0,581.0,349.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg16.fits,Loop,79,7453,610.7416114807129,482.1424974727727,361.0,592.4768586965,260.0,706.0,446.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg17.fits,Loop,103,9696,976.6201477050781,850.7263680405882,811.0,793.6855797665548,385.0,1275.0,890.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg3.fits,Loop,91,4760,827.1722030639648,750.8774104026397,700.0,503.03289429666665,488.0,1013.0,525.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg21.fits,Loop,37,16161,766.815357208252,580.8390346945392,468.0,960.2050848007544,243.0,912.0,669.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg22.fits,Loop,49,6190,519.363525390625,403.87300444410533,299.0,558.7298718455565,182.0,630.0,448.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg18.fits,Loop,46,13821,836.4764022827148,734.2671994506857,673.0,664.844876534534,366.0,1091.0,725.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/Loop/subimg14.fits,Loop,69,14972,719.6808319091797,549.4408390394628,418.0,805.0608893683329,215.0,901.0,686.0
